,SubjectID,AssignmentID,ClientTimestamp,DateTime,NextDateTime,Diff,DaysDiff,HoursDiff,MinutesDiff,SecondsDiff
77,Student23,Assign6,1634318986110,2021-10-15 17:29:46.110,2021-10-15 17:36:27.384,0 days 00:06:41.274000,0.0,0.11,6.68,401.0
78,Student23,Assign6,1634319387384,2021-10-15 17:36:27.384,2021-10-15 17:36:42.209,0 days 00:00:14.825000,0.0,0.0,0.23,14.0
79,Student23,Assign6,1634319402209,2021-10-15 17:36:42.209,2021-10-15 17:37:31.448,0 days 00:00:49.239000,0.0,0.01,0.82,49.0
80,Student23,Assign6,1634319451448,2021-10-15 17:37:31.448,2021-10-15 17:37:54.761,0 days 00:00:23.313000,0.0,0.01,0.38,23.0
81,Student23,Assign6,1634319474761,2021-10-15 17:37:54.761,2021-10-15 17:39:50.292,0 days 00:01:55.531000,0.0,0.03,1.92,115.0
82,Student23,Assign6,1634319590292,2021-10-15 17:39:50.292,2021-10-15 17:40:03.855,0 days 00:00:13.563000,0.0,0.0,0.22,13.0
83,Student23,Assign6,1634319603855,2021-10-15 17:40:03.855,2021-10-15 17:41:27.872,0 days 00:01:24.017000,0.0,0.02,1.4,84.0
84,Student23,Assign6,1634319687872,2021-10-15 17:41:27.872,2021-10-15 17:41:51.101,0 days 00:00:23.229000,0.0,0.01,0.38,23.0
85,Student23,Assign6,1634319711101,2021-10-15 17:41:51.101,2021-10-15 17:41:55.669,0 days 00:00:04.568000,0.0,0.0,0.07,4.0
86,Student23,Assign6,1634319715669,2021-10-15 17:41:55.669,2021-10-15 17:41:58.884,0 days 00:00:03.215000,0.0,0.0,0.05,3.0
87,Student23,Assign6,1634319718884,2021-10-15 17:41:58.884,2021-10-15 17:42:02.192,0 days 00:00:03.308000,0.0,0.0,0.05,3.0
88,Student23,Assign6,1634319722192,2021-10-15 17:42:02.192,2021-10-15 17:42:05.911,0 days 00:00:03.719000,0.0,0.0,0.05,3.0
89,Student23,Assign6,1634319725911,2021-10-15 17:42:05.911,2021-10-15 17:42:09.018,0 days 00:00:03.107000,0.0,0.0,0.05,3.0
90,Student23,Assign6,1634319729018,2021-10-15 17:42:09.018,2021-10-15 17:42:20.344,0 days 00:00:11.326000,0.0,0.0,0.18,11.0
91,Student23,Assign6,1634319740344,2021-10-15 17:42:20.344,2021-10-15 17:46:49.272,0 days 00:04:28.928000,0.0,0.07,4.47,268.0
92,Student23,Assign6,1634320009272,2021-10-15 17:46:49.272,2021-10-15 17:47:19.544,0 days 00:00:30.272000,0.0,0.01,0.5,30.0
93,Student23,Assign6,1634320039544,2021-10-15 17:47:19.544,2021-10-15 17:59:26.743,0 days 00:12:07.199000,0.0,0.2,12.12,727.0
94,Student23,Assign6,1634320766743,2021-10-15 17:59:26.743,2021-10-15 18:00:00.966,0 days 00:00:34.223000,0.0,0.01,0.57,34.0
95,Student23,Assign6,1634320800966,2021-10-15 18:00:00.966,2021-10-15 18:04:36.167,0 days 00:04:35.201000,0.0,0.08,4.58,275.0
96,Student23,Assign6,1634321076167,2021-10-15 18:04:36.167,2021-10-15 18:05:38.260,0 days 00:01:02.093000,0.0,0.02,1.03,62.0
97,Student23,Assign6,1634321138260,2021-10-15 18:05:38.260,2021-10-15 18:07:12.269,0 days 00:01:34.009000,0.0,0.03,1.57,94.0
98,Student23,Assign6,1634321232269,2021-10-15 18:07:12.269,2021-10-15 18:15:41.932,0 days 00:08:29.663000,0.0,0.14,8.48,509.0
99,Student23,Assign6,1634321741932,2021-10-15 18:15:41.932,2021-10-15 18:17:02.646,0 days 00:01:20.714000,0.0,0.02,1.33,80.0
100,Student23,Assign6,1634321822646,2021-10-15 18:17:02.646,2021-10-15 18:20:39.307,0 days 00:03:36.661000,0.0,0.06,3.6,216.0
101,Student23,Assign6,1634322039307,2021-10-15 18:20:39.307,2021-10-15 18:25:36.336,0 days 00:04:57.029000,0.0,0.08,4.95,297.0
102,Student23,Assign6,1634322336336,2021-10-15 18:25:36.336,2021-10-15 18:36:30.313,0 days 00:10:53.977000,0.0,0.18,10.88,653.0
103,Student23,Assign6,1634322990313,2021-10-15 18:36:30.313,2021-10-15 18:36:52.959,0 days 00:00:22.646000,0.0,0.01,0.37,22.0
104,Student23,Assign6,1634323012959,2021-10-15 18:36:52.959,2021-10-15 18:38:21.843,0 days 00:01:28.884000,0.0,0.02,1.47,88.0
105,Student23,Assign6,1634323101843,2021-10-15 18:38:21.843,2021-10-15 18:38:31.604,0 days 00:00:09.761000,0.0,0.0,0.15,9.0
106,Student23,Assign6,1634323111604,2021-10-15 18:38:31.604,2021-10-15 18:38:43.760,0 days 00:00:12.156000,0.0,0.0,0.2,12.0
107,Student23,Assign6,1634323123760,2021-10-15 18:38:43.760,2021-10-15 18:39:16.815,0 days 00:00:33.055000,0.0,0.01,0.55,33.0
108,Student23,Assign6,1634323156815,2021-10-15 18:39:16.815,2021-10-15 18:39:55.563,0 days 00:00:38.748000,0.0,0.01,0.63,38.0
109,Student23,Assign6,1634323195563,2021-10-15 18:39:55.563,2021-10-15 18:40:05.465,0 days 00:00:09.902000,0.0,0.0,0.15,9.0
